source,appendix,lake,station,season,sample_date_1971,depth_m,characteristic,value_as_printed,unit_as_printed,value_as_P,below_detection,not_determined,raw_text
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,15,TKN,0.39,mg/L,,FALSE,FALSE,0.39
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,15,o-PO4,0.04,mg/L as PO4,0.01305,FALSE,FALSE,0.04
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,15,t-PO4,0.08,mg/L as PO4,0.02609,FALSE,FALSE,0.08
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,15,SiO2,5.6,mg/L,,FALSE,FALSE,5.6
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,20,NO3,0.01,mg/L,,FALSE,FALSE,0.01
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,20,TKN,0.74,mg/L,,FALSE,FALSE,0.74
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,20,o-PO4,0.41,mg/L as PO4,0.13372,FALSE,FALSE,0.41
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,20,t-PO4,0.55,mg/L as PO4,0.17939,FALSE,FALSE,0.55
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,20,SiO2,6.1,mg/L,,FALSE,FALSE,6.1
"CA-BC Okanagan Basin Agreement 1974, Tech. Supplement V",C-1,Wood Lake,1,OCTOBER,1971-10-14,26,NO3,0.01,mg/L,,FALSE,FALSE,0.01
